property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sohna-gurgaon-710-sq-ft-spid-K69386204,Global height,45 Lac,"₹ 6,338/sq.ft.",Carpet area: 710 (65.96 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Sohna, Gurgaon, Haryana",6th   of 10 Floors,East,1 to 5 Year Old,,Its totally ready to move properly and on highway,"['1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '11 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', 'No AC', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",K69386204
2 BHK Flat in Sector 37D Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-the-millennia-sector-37-d-gurgaon-650-sq-ft-spid-X69385790,Signature Global the Millennia,65 Lac,"₹ 10,906/sq.ft.",Super Built up area 650(60.39 sq.m.)Carpet area: 596 sq.ft. (55.37 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"Sector 37D Gurgaon, Gurgaon, Haryana",Ground of 16 Floors,,0 to 1 Year Old,"['Jharsha Chowk', 'Hero Honda Chowk', 'Rajiv Chowk', 'Umang Bhawaj Chawk', 'IMT Manesar', 'NH 8', 'Delhi', 'AIIMS Jhajjar', 'SGT Medical College', 'Vedic Hospital', 'Balaji Hospital', 'Dwarka Expressway', 'Gurgaon Railway Station', 'Basai Dhancourt Railway Station', 'Signature tower']","Ground floor, parking facing 
Adjoining commercial complex",,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",X69385790
2 BHK Flat in Sector 65 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1516-sq-ft-spid-T69385436,M3M Heights,2.01 Crore,"₹ 13,500/sq.ft.",Super Built up area 1516(140.84 sq.m.)Carpet area: 1433 sq.ft. (133.13 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,Study Room,"Sector 65 Gurgaon, Gurgaon, Haryana",8th   of 40 Floors,North-East,Within 3 months,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School', 'DPG Institute of Technology', 'Park Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']","M3m heights is one of the most popular destination for buying apartments/ flats in sector 65 gurgaon. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is over 1433 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 8th floor of a 40 floors tall building. As the property is currently under construction , you can expect to get the possession within 3 months.","['1 Wardrobe', '1 Stove', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",T69385436
2 BHK Flat in Sector 89 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1107-sq-ft-spid-P69385200,Smart World Gems,1 Crore,"₹ 9,033/sq.ft.",Carpet area: 1107 (102.84 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Study Room,"J56, Sector 89 Gurgaon, Gurgaon, Haryana",1st   of 4 Floors,,By 2025,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']",Smartworld gems floor with car parking possession in 25,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",P69385200
3 BHK Flat in Sector 5 chowk Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gurgaon-800-sq-ft-r1-spid-Y66707356,Aashirwad Residency,90 Lac,"₹ 11,250/sq.ft.",Carpet area: 800 (74.32 sq.m.),3 Bedrooms,2 Bathrooms,2 Balconies,Others,"Flat 401, 4th Floor, A 34, Sector 5 chowk Gurgaon, Gurgaon, Haryana",4th   of 4 Floors,,5 to 10 Year Old,,"This is 3 bhk flat with written terrace rights, with an additional store room on terrace. Their is a lift and 1 open and 1 inner parking. 
Property is at very prime location landmark is sector 5 chowk with everything at walking distance schools, hospital, market, bus stop-Bus stand, banks, eateries, railway station, airport is also near by. It's a perfect property for a family.","['1 Wardrobe', '1 Fan', '1 Light', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage']",,Y66707356
3 BHK Flat in Sector 53 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-monsella-sector-53-gurgaon-2892-sq-ft-spid-W69383634,Tulip Monsella,6.02 Crore,"₹ 20,816/sq.ft.",Built Up area: 2892 (268.68 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,,"Sector 53, Sector 53 Gurgaon, Gurgaon, Haryana",29th   of 39 Floors,,Aug 2026,"['Sector 53-54 Metro Station', 'Central Plaza Mall', 'The Big Tree Cafe', 'IILM University, Gurugram', 'The Banyan Tree World School', 'Sanar International Hospital', 'DLF Golf and Country Club', 'Mavens Inn', 'DoubleTree by Hilton Hotel']","Multistorey apartment is available for sale. It covered area of 2892 sq-Ft, it is a good location property. Please contact for more details. Tulip monsella sector 53","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",W69383634
2 BHK Flat in Sector 89 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1105-sq-ft-spid-U69383626,Smart World Gems,90 Lac,"₹ 8,145/sq.ft.",Built Up area: 1105 (102.66 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Sector 89, Sector 89 Gurgaon, Gurgaon, Haryana",1st   of 1 Floors,,undefined,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']","Multistorey apartment is available for sale. It has covered area 1105 sq-Ft, it is 2 bhk apartment. Please contact for more details. Smart world gems sector 89",,,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",U69383626
3 BHK Flat in Sector 76 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-76-gurgaon-2937-sq-ft-spid-G69383624,Whiteland  The ASPEN,3.5 Crore,"₹ 11,917/sq.ft.",Built Up area: 2937 (272.86 sq.m.)Carpet area: 1762 sq.ft. (163.7 sq.m.),3 Bedrooms,4 Bathrooms,3 Balconies,,"Sector 76, Delhi Gurgaon Expressway, Sector 76 Gurgaon, Gurgaon, Haryana",8th   of 8 Floors,,undefined,"['S.R.S. Hospital and Critical Care Unit', 'Petrol Pump Indian Oil', 'Petrol Pump Indian Oil', 'Petrol Pump Indian Oil', 'Petrol Pump IBP', 'Haldiram']","Multistorey apartment is available for sale. It covered area of 2937 sq-Ft, it is a good location property. Please contact for more details. Whiteland the aspen sector 76, delhi gurgaon expressway","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,G69383624
2 BHK Flat in Sector 85 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-1400-sq-ft-r2-spid-P58422396,Godrej Air,1.3 Crore,"₹ 14,541/sq.ft.",Super Built up area 1400(130.06 sq.m.)Carpet area: 894 sq.ft. (83.06 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"Sector 85 Gurgaon, Gurgaon, Haryana",30th   of 32 Floors,,Nov 2023,"['Sapphire 83 Mall', 'Sector 86 Road', 'Dwarka Expy', 'Euro International School', 'Sushant University', 'Shri Balaji’s Multispeciality Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']",Sun facing spacious 2bhk in luxurious society available for sale. It is on 30th floor which will give you awesome view.,,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",P58422396
2 BHK Flat in Sector 86 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-homes-2-sector-86-gurgaon-516-sq-ft-spid-J69380510,Pyramid Urban Homes 2,50 Lac,"₹ 9,698/sq.ft.",Carpet area: 515.57 (47.9 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"601 Tower-2, Sector 86 Gurgaon, Gurgaon, Haryana",6th   of 15 Floors,,10+ Year Old,"['Sapphire 83 Mall', 'Rampura Flyover, Naurangpur Rd', 'Manesar toll plaza - Kherki Daula', ""St. Xavier's High School"", 'Imt Manesar, Gurugram', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Minda Industries  Corporate Office', 'Holiday Inn', 'Nakhrola Stadium']","This 2 bhk flat is located in pyramid urban homes 2, which houses some of the most spacious flats in sector 86 gurgaon. The flat occupies a carpet area of 516 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat lies on the 6th level of a 15 storey building. This is a ready to move project and the property is 10+ years old. Many of the modern amenities being offered, like shopping centre, park and lift(s), will provide a pleasant living experience for you.",,"['Lift(s)', 'Park', 'Shopping Centre']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']",J69380510
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-breez-global-hill-view-sohna-gurgaon-658-sq-ft-spid-D69377782,Breez Global Hill View,35 Lac,"₹ 5,319/sq.ft.",Built Up area: 658 (61.13 sq.m.)Carpet area: 554.17 sq.ft. (51.48 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"1803, Sohna, Gurgaon, Haryana",18th   of 19 Floors,,0 to 1 Year Old,"['Huda City Centre', 'Omaxe City Centre', 'Ninex City Mart', 'Vaels Ravindra Bharathi Global School', 'Anjali nursery', 'Polaris Hospital', 'Axis Bank', 'Triangular Park', 'Flow Sports Life Badminton Club', 'Basai Dhankot Railway Station', 'Cars24', 'Radisson Hotel Gurugram', ""McDonald's"", 'Petrol Pump', 'Indian Post Office']","This beautiful property located in the heart of aravali hills
You revive a beautiful view aravli hills 
Peaceful area pollution free area near by imt sona 
Good chance of higher rent.","['3 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",D69377782
1 BHK Flat in Sohna,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hcbs-sports-ville-sohna-gurgaon-600-sq-ft-spid-I69373016,HCBS Sports Ville3.6 ★,25 Lac,"₹ 4,166/sq.ft.",Built Up area: 600 (55.74 sq.m.),1 Bedroom,1 Bathroom,1 Balcony,,"Sohna, Gurgaon, Haryana",12nd   of 13 Floors,,1 to 5 Year Old,"['The roadside cafe', 'GD Goenka Mess', 'ROyal Kitchen', 'Mithaas Wala', 'Momomia Gurgoan']",Residential apartment for sell.Located on 12th floor out of the 13 located in sohna.It is a unfurnished property.The property has 1 bedroom with 1 bathroom .Property is built in 600.00 sq.Ft.(Builtup area)  available at an expected price of rs 2500000.The property comes with a good construction quality which ages 1-5 years old property,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Rain Water Harvesting']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity2 out of 5']",I69373016
2 BHK Flat in Manesar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eden-landmark-manesar-gurgaon-1300-sq-ft-r6-spid-N24137865,Eden Landmark,50 Lac,"₹ 3,847/sq.ft.",Built Up area: 1300 (120.77 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,,"Eden Landmark, Manesar, Gurgaon, Haryana",7th   of 11 Floors,,Under Construction,"['Yadav Dental & Eye Care', 'Shri Rade Clinic', 'Prakash Hospital', 'Dr. Sahil Clinic', 'Pooja Clinic', 'Dental Hospital', 'Petrol pump Maitri motors', ""McDonald's"", ""McDonald's""]","Interested to sell residential apartment. Placed at manesar. 1300 sq.Ft.(Builtup area) is the area of the property. Want to sell it for ""fifty lakh rupees"". Building has 11 total floors and property is located on 7th floor. It has spacious 2 bedrooms and 2 bathrooms",[],,"['Environment4 out of 5', 'Lifestyle3.5 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",N24137865
1 BHK Flat in Sector 84 Gurgaon,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-pivotal-devaan-sector-84-gurgaon-439-sq-ft-r1-spid-W63179828,Pivotal Devaan,27 Lac,"₹ 7,964/sq.ft.",Super Built up area 439(40.78 sq.m.)Carpet area: 339 sq.ft. (31.49 sq.m.),1 Bedroom,1 Bathroom,1 Balcony,,"Sector 84 Gurgaon, Gurgaon, Haryana",13rd   of 15 Floors,North-East,1 to 5 Year Old,"['Dwarka Expressway', 'RPS International School', 'Shree Shyam Public School', 'The Millenium School', 'GD Goenka Public School', 'Genesis Hospital', 'Yashlok Medical Centre', 'Sarup Multispeciality Hospital', 'IGI Airport', 'State Bank of India', 'Holiday Inn', 'Hyatt Regency', 'Footprints', 'Saheed Bhagat Singh Sports Academy', 'Bharat Petroleum']",Very prime location at dwarka expressway and very close to upcoming gurgaon isbt,"['1 Water Purifier', '1 Fridge', '2 Geyser', '1 Stove', '4 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', '2 Wardrobe', '2 Bed', '1 Sofa', '1 Washing Machine', 'No AC', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Microwave', 'No TV']","['Water purifier', 'No open drainage around', 'Bank Attached Property', 'Security Personnel', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",W63179828
3 BHK Flat in Sector 56 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-cghs-vidya-enclave-sector-56-gurgaon-1600-sq-ft-spid-Z69212182,CGHS Vidya Enclave3.9 ★,1.7 Crore,"₹ 10,967/sq.ft.",Super Built up area 1600(148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3 Bedrooms,2 Bathrooms,3 Balconies,Store Room,"Sector 56 Gurgaon, Gurgaon, Haryana",6th   of 9 Floors,,10+ Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'Icici bank ATM', 'State bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'pracksht hospital', 'Kriti Hospital', 'Surgicare Hospital Gurgaon', 'Anand Hospital Gurgaon', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'State bank of india', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","Details:
Higher floor, furnished with wooden flooring
Drawing and 3 bedrooms with acs, 2 attached washrooms, covered parking available, 3 balconies, modular kitchen, piped gas, power back up
Safe and secure society 
Less than 500 m from sector 56 huda market and sector 55-56 metro station","['1 Fan', '1 Light', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'Recently Renovated', 'Piped-gas', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Rain Water Harvesting', 'Water softening plant']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management5 out of 5', 'Amenities4 out of 5', 'Connectivity5 out of 5']",Z69212182
3 BHK Flat in Sector 89 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1103-sq-ft-spid-P69352646,Smart World Gems,1.16 Crore,"₹ 10,500/sq.ft.",Super Built up area 1103(102.47 sq.m.),3 Bedrooms,2 Bathrooms,3 Balconies,Study Room,"Sector 89 Gurgaon, Gurgaon, Haryana",1st   of 4 Floors,,Within 6 months,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']",The best part about this property is that you have dedicated basement room and terrace included in the flat.,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",P69352646
2 BHK Flat in Sector 107 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-woodshire-sector-107-gurgaon-1366-sq-ft-r8-spid-P22187629,M3M Woodshire4.0 ★,1.01 Crore,"₹ 7,394/sq.ft.",Super Built up area 1366(126.91 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.),2 Bedrooms,2 Bathrooms,3+ Balconies,Others,"Sector 107, Sector 107 Gurgaon, Gurgaon, Haryana",11st   of 15 Floors,,0 to 1 Year Old,"['Signum 107', 'Nora Solomon Medicenter', 'Indira Gandhi International Airport', 'The Shikshiyan School', 'Najafgarh Jheel Bird Sanctuary', 'Skylark Cricket Academy']","Residential apartment for sell.Located on 11th  of the 15 floors located in sector-107 gurgaon.It is a unfurnished property.The property has 2 bedrooms  with 2 bathrooms .Property is built in 1200 sq.Ft.(Builtup area)  available at an expected price of 1.01 croreit is a freehold property.The property comes with a good construction quality which ages 0 to 1 year old  . Amenities:Intercom facility,Lift(S),Swimming pool,Security personnel,Maintenance staff,Internet/wi-Fi connectivity,Park,Visitor parking,Club house / community center,Fitness centre / gym,Shopping centre,Rain water harvesting",,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Security Personnel', 'Maintenance Staff', 'Internet/wi-fi connectivity', 'Park', 'Visitor Parking', 'Club house / Community Center', 'Fitness Centre / GYM', 'Shopping Centre', 'Rain Water Harvesting']","['Green Area4.5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",P22187629
"5 BHK Flat in old delhi road, opp sector-14",https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-vasant-apartment-gurgaon-2300-sq-ft-spid-M69349560,Vasant Apartment,1.75 Crore,"₹ 7,608/sq.ft.",Carpet area: 2300 (213.68 sq.m.),5 Bedrooms,5 Bathrooms,2 Balconies,"Study Room,Pooja Room,Store Room","336, old delhi road, opp sector-14, Gurgaon, Haryana",3rd   of 3 Floors,East,10+ Year Old,"['Sheetla Mata Mandir', 'Hanuman Mandir', 'Hsbc bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Saraswati Hospital Gurgaon', 'Lotus Hospital Gurgaon', 'Mamta Hospital Gurgaon', 'Dr. Babita Sharma', 'Nidhi Clinic', 'Kalyani Hospital Gurgaon', 'Dr. Tomar Clinic', 'Sheetla Clinic', 'Children Hospital', 'Kishor Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Jackson Hospital', 'Ahooja Eye and Dental Institute Hospital', 'Dr. Sandeep Chauhan', 'M Goel Hospital', 'Nagpal Nursing Home Gurgaon', 'Dental Health Centre', 'Lalit Dental Care', 'Lall Nursing and Maternity Home', 'Om Charitable Dental & Implant Centre', 'Nova Care Clinic', 'Dentecare - Multispeciality Dental Clinic', 'Verma E.N.T. Hospital', 'Lall Eye Care Centre', 'GH Gurgaon', 'Kharbanda Maternity and Nursing Home', 'Kidney Clinic', 'Dr. Agya Ram Sharma Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Dr. Sarvejeet Singh', 'Sector-14 Market', 'Indian Oil', 'Rang Parivartan', 'State bank of india sbi', 'Icici bank', 'Hdfc bank', 'Punjab national bank', 'Standard chartered bank', 'Oriental bank of commerce', 'Karur vysay bank', 'Catholic syrian bank', 'Cafe Coffee Day', 'Lieutenant Atul Kataria School', 'govt sec school', 'Salvan Public School']","Prime location on old delhi-Gurgaon road, biggest apartment in society, 250 sqft build up additionally on terrace , with roof rights , independent floor, gated society, near to udyog vihar , hospitals , markets in sector 14 and sadar bazar , metro station, corner flat.","['1 Water Purifier', '10 Fan', '1 Exhaust Fan', '2 Geyser', '10 Light', '2 AC', '1 Modular Kitchen', '1 Chimney', '4 Bed', '5 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV']","['Security / Fire Alarm', 'Intercom Facility', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Rain Water Harvesting']",,M69349560
2 BHK Flat in Sector 107 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-solera-2-sector-107-gurgaon-560-sq-ft-spid-C69348248,Signature Global Solera 2,50 Lac,"₹ 8,928/sq.ft.",Carpet area: 560 (52.03 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Sector 107 Gurgaon, Gurgaon, Haryana",13rd   of 13 Floors,,0 to 1 Year Old,"['Dwarka Expressway', 'Delhi', 'IGI Airport']","Located in the popular residential address of sector 107 gurgaon, signature global solera 2 is one of the most preferred destination for apartments in gurgaon. This 2 bhk flat is your ticket to be a part of this community. The flat is over 560 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 13 floors in total and the flat for sale is located on the top floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.","['3 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Park']","['Environment3 out of 5', 'Lifestyle2 out of 5', 'Connectivity3 out of 5', 'Safety1 out of 5']",C69348248
3 BHK Flat in Sector 36 Sohna,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-4-sector-36-sohna-gurgaon-1081-sq-ft-spid-P69347302,Signature Global Park 4,82 Lac,"₹ 7,585/sq.ft.",Carpet area: 1081 (100.43 sq.m.),3 Bedrooms,2 Bathrooms,3 Balconies,,"2nd Floor, Sector 36 Sohna, Gurgaon, Haryana",2nd   of 4 Floors,,0 to 1 Year Old,"['Sector 55-56 Metro Station', 'The Leaf Mall Sohna', 'Omaxe Gurgaon Mall', 'Badshahpur Sohna Rd Hwy', 'Vidya Niketan School', 'KIIT College of Engg', 'Scottish High International School', 'Rawal Institutions', 'Park Hospital', 'Indira Gandhi Intl Airport', 'Spaze Business Park', 'DLF Cyber City']","2nd floor good facing, corner one",,"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']",,P69347302
